Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,016001,1974,12,0.2,Y
IDCJAC0001,016001,1975,01,17.6,Y
IDCJAC0001,016001,1975,02,53.6,Y
IDCJAC0001,016001,1975,03,8.2,Y
IDCJAC0001,016001,1975,04,7.6,Y
IDCJAC0001,016001,1975,05,7.0,Y
IDCJAC0001,016001,1975,06,7.0,Y
IDCJAC0001,016001,1975,07,9.4,Y
IDCJAC0001,016001,1975,08,16.2,Y
IDCJAC0001,016001,1975,09,31.8,Y
IDCJAC0001,016001,1975,10,45.8,Y
IDCJAC0001,016001,1975,11,3.0,Y
IDCJAC0001,016001,1975,12,51.4,Y
IDCJAC0001,016001,1976,01,52.4,Y
IDCJAC0001,016001,1976,02,48.4,Y
IDCJAC0001,016001,1976,03,1.2,Y
IDCJAC0001,016001,1976,04,0.0,Y
IDCJAC0001,016001,1976,05,0.4,Y
IDCJAC0001,016001,1976,06,4.2,Y
IDCJAC0001,016001,1976,07,4.8,Y
IDCJAC0001,016001,1976,08,0.2,Y
IDCJAC0001,016001,1976,09,26.0,Y
IDCJAC0001,016001,1976,10,52.2,Y
IDCJAC0001,016001,1976,11,11.4,Y
IDCJAC0001,016001,1976,12,4.2,Y
IDCJAC0001,016001,1977,01,4.2,Y
IDCJAC0001,016001,1977,02,0.0,Y
IDCJAC0001,016001,1977,03,0.0,Y
IDCJAC0001,016001,1977,04,0.0,Y
IDCJAC0001,016001,1977,05,5.4,Y
IDCJAC0001,016001,1977,06,14.6,Y
IDCJAC0001,016001,1977,07,0.4,Y
IDCJAC0001,016001,1977,08,3.8,Y
IDCJAC0001,016001,1977,09,2.0,Y
IDCJAC0001,016001,1977,10,5.8,Y
IDCJAC0001,016001,1977,11,130.6,Y
IDCJAC0001,016001,1977,12,10.6,Y
IDCJAC0001,016001,1978,01,14.4,Y
IDCJAC0001,016001,1978,02,1.4,Y
IDCJAC0001,016001,1978,03,3.0,Y
IDCJAC0001,016001,1978,04,1.4,Y
IDCJAC0001,016001,1978,05,17.2,Y
IDCJAC0001,016001,1978,06,49.4,Y
IDCJAC0001,016001,1978,07,29.4,Y
IDCJAC0001,016001,1978,08,23.2,Y
IDCJAC0001,016001,1978,09,39.2,Y
IDCJAC0001,016001,1978,10,19.6,Y
IDCJAC0001,016001,1978,11,40.8,Y
IDCJAC0001,016001,1978,12,0.8,Y
IDCJAC0001,016001,1979,01,16.4,Y
IDCJAC0001,016001,1979,02,32.2,Y
IDCJAC0001,016001,1979,03,1.2,Y
IDCJAC0001,016001,1979,04,13.4,Y
IDCJAC0001,016001,1979,05,119.4,Y
IDCJAC0001,016001,1979,06,2.8,Y
IDCJAC0001,016001,1979,07,10.0,Y
IDCJAC0001,016001,1979,08,26.6,Y
IDCJAC0001,016001,1979,09,24.8,Y
IDCJAC0001,016001,1979,10,6.4,Y
IDCJAC0001,016001,1979,11,79.8,Y
IDCJAC0001,016001,1979,12,29.4,Y
IDCJAC0001,016001,1980,01,3.4,Y
IDCJAC0001,016001,1980,02,0.2,Y
IDCJAC0001,016001,1980,03,0.0,Y
IDCJAC0001,016001,1980,04,28.8,Y
IDCJAC0001,016001,1980,05,10.6,Y
IDCJAC0001,016001,1980,06,16.8,Y
IDCJAC0001,016001,1980,07,12.0,Y
IDCJAC0001,016001,1980,08,0.0,Y
IDCJAC0001,016001,1980,09,2.6,Y
IDCJAC0001,016001,1980,10,11.0,Y
IDCJAC0001,016001,1980,11,0.6,Y
IDCJAC0001,016001,1980,12,2.8,Y
IDCJAC0001,016001,1981,01,14.6,Y
IDCJAC0001,016001,1981,02,9.6,Y
IDCJAC0001,016001,1981,03,19.4,Y
IDCJAC0001,016001,1981,04,1.8,Y
IDCJAC0001,016001,1981,05,28.6,Y
IDCJAC0001,016001,1981,06,13.2,Y
IDCJAC0001,016001,1981,07,29.0,Y
IDCJAC0001,016001,1981,08,7.8,Y
IDCJAC0001,016001,1981,09,12.2,Y
IDCJAC0001,016001,1981,10,1.0,Y
IDCJAC0001,016001,1981,11,30.8,Y
IDCJAC0001,016001,1981,12,7.2,Y
IDCJAC0001,016001,1982,01,6.4,Y
IDCJAC0001,016001,1982,02,27.4,Y
IDCJAC0001,016001,1982,03,20.4,Y
IDCJAC0001,016001,1982,04,0.6,Y
IDCJAC0001,016001,1982,05,2.0,Y
IDCJAC0001,016001,1982,06,15.2,Y
IDCJAC0001,016001,1982,07,2.2,Y
IDCJAC0001,016001,1982,08,1.0,Y
IDCJAC0001,016001,1982,09,4.0,Y
IDCJAC0001,016001,1982,10,1.2,Y
IDCJAC0001,016001,1982,11,0.0,Y
IDCJAC0001,016001,1982,12,8.2,Y
IDCJAC0001,016001,1983,01,0.6,Y
IDCJAC0001,016001,1983,02,10.2,Y
IDCJAC0001,016001,1983,03,23.0,Y
