Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,016001,1986,09,22.0,Y
IDCJAC0002,016001,1986,10,23.3,Y
IDCJAC0002,016001,1986,11,29.8,Y
IDCJAC0002,016001,1986,12,31.1,Y
IDCJAC0002,016001,1987,01,33.1,Y
IDCJAC0002,016001,1987,02,32.3,Y
IDCJAC0002,016001,1987,03,27.6,Y
IDCJAC0002,016001,1987,04,26.3,Y
IDCJAC0002,016001,1987,05,19.8,Y
IDCJAC0002,016001,1987,06,17.8,Y
IDCJAC0002,016001,1987,07,17.3,Y
IDCJAC0002,016001,1987,08,18.2,Y
IDCJAC0002,016001,1987,09,23.2,Y
IDCJAC0002,016001,1987,10,26.8,Y
IDCJAC0002,016001,1987,11,30.3,Y
IDCJAC0002,016001,1987,12,32.6,Y
IDCJAC0002,016001,1988,01,35.8,Y
IDCJAC0002,016001,1988,02,32.2,Y
IDCJAC0002,016001,1988,03,30.7,Y
IDCJAC0002,016001,1988,04,25.6,Y
IDCJAC0002,016001,1988,05,21.1,Y
IDCJAC0002,016001,1988,06,17.8,Y
IDCJAC0002,016001,1988,07,17.7,Y
IDCJAC0002,016001,1988,08,19.6,Y
IDCJAC0002,016001,1988,09,24.0,Y
IDCJAC0002,016001,1988,10,29.4,Y
IDCJAC0002,016001,1988,11,27.5,Y
IDCJAC0002,016001,1988,12,32.1,Y
IDCJAC0002,016001,1989,01,32.9,Y
IDCJAC0002,016001,1989,02,34.8,Y
IDCJAC0002,016001,1989,03,28.4,Y
IDCJAC0002,016001,1989,04,23.9,Y
IDCJAC0002,016001,1989,05,18.7,Y
IDCJAC0002,016001,1989,06,14.3,Y
IDCJAC0002,016001,1989,07,15.2,Y
IDCJAC0002,016001,1989,08,16.7,Y
IDCJAC0002,016001,1989,09,22.8,Y
IDCJAC0002,016001,1989,10,26.1,Y
IDCJAC0002,016001,1989,11,29.4,Y
IDCJAC0002,016001,1989,12,33.5,Y
IDCJAC0002,016001,1990,01,34.6,Y
IDCJAC0002,016001,1990,02,31.2,Y
IDCJAC0002,016001,1990,03,32.4,Y
IDCJAC0002,016001,1990,04,25.3,Y
IDCJAC0002,016001,1990,05,22.1,Y
IDCJAC0002,016001,1990,06,16.9,Y
IDCJAC0002,016001,1990,07,17.2,Y
IDCJAC0002,016001,1990,08,18.0,Y
IDCJAC0002,016001,1990,09,23.9,Y
IDCJAC0002,016001,1990,10,27.5,Y
IDCJAC0002,016001,1990,11,32.3,Y
IDCJAC0002,016001,1990,12,33.1,Y
IDCJAC0002,016001,1991,01,35.8,Y
IDCJAC0002,016001,1991,02,37.3,Y
IDCJAC0002,016001,1991,03,30.4,Y
IDCJAC0002,016001,1991,04,26.6,Y
